n,b,s,camino compresibilidad,camino virial,presion
40,1146.69,2.35,136.8475587,135.1049204,2521.948234
60,1146.69,2.35,214.6609286,210.5684547,5975.104627
80,1146.69,2.35,293.8585675,296.4933263,10947.06391
100,1146.69,2.35,,,
120,1146.69,2.35,,,
20,1146.69,2.4,61.48394137,61.83632512,558.434987
40,1146.69,2.4,136.3835305,135.0733477,2521.944253
60,1146.69,2.4,213.9633026,210.5734923,5975.089768
80,1146.69,2.4,292.9281528,295.7480121,10946.96718
100,1146.69,2.4,,,
120,1146.69,2.4,,,
20,1146.69,2.45,61.2580641,61.8364311,558.4341324
40,1146.69,2.45,135.9300051,135.0484295,2521.940605
60,1146.69,2.45,213.2814925,209.7772309,5975.068475
80,1146.69,2.45,292.0128068,294.0855246,10946.84045
100,1146.69,2.45,,,
120,1146.69,2.45,,,
20,1146.69,2.5,61.03717385,61.83631092,558.433221
40,1146.69,2.5,135.4866652,135.1491717,2521.936505
60,1146.69,2.5,212.6143859,209.6154015,5975.039207
80,1146.69,2.5,,,
100,1146.69,2.5,,,
120,1146.69,2.5,,,
20,1146.69,2.55,60.82106613,61.74323119,558.4322506
40,1146.69,2.55,135.0528626,134.9995629,2521.933438
60,1146.69,2.55,211.9614428,209.3782636,5975.015053
80,1146.69,2.55,,,
100,1146.69,2.55,,,
120,1146.69,2.55,,,
20,1146.69,2.6,60.60954728,61.74291915,558.4312212
40,1146.69,2.6,134.6283392,134.9924288,2521.930515
60,1146.69,2.6,211.3213719,209.2333829,5974.983875
80,1146.69,2.6,,,
100,1146.69,2.6,,,
120,1146.69,2.6,,,
20,1146.69,2.65,60.40243534,61.7425141,558.4301306
40,1146.69,2.65,134.2128201,135.0812403,2521.927256
60,1146.69,2.65,210.6930571,208.8716686,5974.94073
80,1146.69,2.65,,,
100,1146.69,2.65,,,
120,1146.69,2.65,,,
